obj,super_obj
glam metal,metal
glam metal,glam music
piano rock,rock music
piano rock,pop rock
acid jazz,club/dance music
space rock,rock music
space rock,psychedelic rock
Celtic rock,folk rock
drummer,percussionist
percussionist,instrumentalist
club,weapon
weapon,adult product
weapon,tool
club,blunt instrument
blunt instrument,cold weapon
club,stick
stick,physical object
trance,trance and possession disorder
trance and possession disorder,dissociative disorder
Athens,serif typeface
Latin pop,pop music
Latin pop,Latin music
Latin music,music
Latin Grammy Award for Best Male Pop Vocal Album,award for best album (genre)
symphonic rock,rock music
Tower,serif typeface
Tower,geometric typeface
geometric typeface,typeface
electric guitar,guitar
electric guitar,electro-acoustic chordophones
electro-acoustic chordophones,electro-acoustic instruments
funk rock,rock music
rap metal,alternative metal
rap metal,rap rock
rap rock,rapping
rap rock,rock music
rap rock,hip hop music
electroclash,electronic dance music
club,organization
club,voluntary association
voluntary association,non-governmental organization
voluntary association,social organization
voluntary association,association
club,juridical person
juridical person,organization
juridical person,company
juridical person,legal person
grunge,alternative rock
Spanish,Castilic
Castilic,West Iberian
Spanish,West Iberian
West Iberian,Iberian Romance
Catholicism,Western Christianity
Western Christianity,Christianity
Western Christianity,Chalcedonian Christianity
singing,activity
singing,musical performance
musical performance,performance
musical performance,musical interpretation
musical performance,show
MTV Europe Music Award for Best Song,award for best song
acoustic guitar,guitar
acoustic guitar,acoustic musical instrument
acoustic musical instrument,musical instrument
power metal,metal
chanson,popular music
chanson,music of France
music of France,music of Western Europe
Chicago,sans-serif
Knight of the Legion of Honour,knight
Commander of the Order of the British Empire,commander
Scientology,religious movement
religious movement,social movement
indie folk,independent music
indie folk,contemporary folk music
Commandeur des Arts et des Lettres,commander
mbira,lamellophone
lamellophone,idiophone
American folk music,traditional folk music
traditional folk music,folk music
American folk music,music of the United States
music of the United States,music of North America
Grammy Award for Best Solo Rock Vocal Performance,award for best performance
NME Awards,music award
Santa Fe,submarine
submarine,vessel
submarine,underwater vehicle
Muso Awards,music award
gospel music,Christian music
Christian music,religious music
Dutch,Germanic peoples
Germanic peoples,Indo-European people
Dutch,inhabitant
Dutch,European people
Dutch,Western Europeans
garage rock,rock music
beatboxing,a cappella
a cappella,vocal music
beatboxing,vocal percussion
vocal percussion,body percussion
vocal percussion,voice
sitar,necked bowl lutes sounded by plectrum
necked bowl lutes sounded by plectrum,plucked string instrument
necked bowl lutes sounded by plectrum,necked bowl lutes
Americana,music of North America
banjo,plucked necked box lute
radio personality,announcer
announcer,media professional
radio personality,media personality
media personality,celebrity
media personality,media professional
radio personality,presenter
presenter,creator
presenter,discussion moderator
street artist,performing artist
street artist,visual artist
celesta,keyboard instrument
celesta,sets of percussion plaques
sets of percussion plaques,percussion plaques
Princess of Asturias Award for the Arts,Princess of Asturias Awards
Princess of Asturias Awards,award
sitar,veil
veil,headgear
veil,headcloth
fiddler,musician
fiddler,violinist
fiddler,spelman
spelman,musician
spelman,dirty job
spelman,historical profession
spelman,folk musician
cello rock,rock music
honorary doctor of the University of St Andrews,honorary doctorate
honorary doctorate,honorary degree
honorary doctorate,Doctor
alternative hip hop,rapping
rapping,hip hop music
rapping,musical performance
alternative hip hop,hip hop music
alternative hip hop,alternative music
Americana,genre
genre,class
Americana,cultural artifact
cultural artifact,cultural heritage
cultural artifact,artefact
banjo,fixture
fixture,physical tool
fixture,support
pop punk,punk rock
pop punk,pop music
Chicago,cue sports
cue sports,sport
fiddle,bowed lute
bowed lute,bowed string instrument
bowed lute,lutes
melodica,reed aerophone
reed aerophone,wind instrument
reed aerophone,woodwind instrument
reed aerophone,reed instrument
melodica,sets of free reeds
country rock,stone
stone,material
designer,creator
designer,visual artist
country rock,rock music
country rock,music of North America
jazz guitarist,guitarist
jazz guitarist,jazz musician
glockenspiel,metallophone
metallophone,mallet percussion instrument
glockenspiel,mallet percussion instrument
Uni,Warapu
Warapu,Skou
film editor,filmmaker
filmmaker,artist
filmmaker,film director
filmmaker,visual artist
Portland,sheep
Christian rock,rock music
Christian rock,Christian music
Knight Bachelor,knight
Knight Bachelor,knighthood
knighthood,award
vocoder,synthesizer
vocoder,electronic musical instrument
Grammy Award for Best Male Rock Vocal Performance,award for best performance
banjoist,plucked instrument player
Presidential Medal of Freedom,medallion
medallion,award
medallion,work of art
medallion,work with multiple executions
medallion,monetiform object
Nobel Prize in Literature,Nobel Prize
Nobel Prize,prize
MTV Europe Music Award for Best World Stage Performance,award for best performance
MTV Europe Music Award for Best Alternative,award for best artist
Dutch,Low Franconian
Low Franconian,Franconian
Judaism,Abrahamic religion
Judaism,monotheistic religion
monotheistic religion,religion
reggae,music of Jamaica
music of Jamaica,music of the Greater Antilles
jazz fusion,jazz
polka,classical music
polka,dance music
polka,coiffe bretonne
coiffe bretonne,coif
drawer,visual artist
polka,ballroom dance
ballroom dance,sport
ballroom dance,partner dance
polka,European folk dance
European folk dance,folk dance
European folk dance,European dance
Grammy Award for Best Alternative Music Album,award for best album (genre)
Grammy Award for Best Hard Rock Performance,award for best performance
Grammy Award for Best R&B Album,award for best album
award for best album,music award
award for best album,class of award
ecologist,scientist
scientist,researcher
scientist,scholar
ecologist,biologist
biologist,scientist
BRIT Award for International Breakthrough Act,BRIT Awards
Portuguese,inhabitant
Portuguese,European people
Portuguese,Lusophones
Lusophones,person
Lusophones,people
Lusophones,ethnolinguistic group
Portuguese,Western Europeans
People's Choice Award for Favorite Band,award for favorite (...)
award for favorite (...),class of award
Appalachian dulcimer,dulcimer
dulcimer,lutes
dulcimer,simple chordophone
drawer,physical container
physical container,physical tool
physical container,container
drawer,furniture component
furniture component,furniture
furniture component,furnishings component
hip hop soul,contemporary R&B
urban contemporary,popular music
urban contemporary,Black music
Black music,music of the African diaspora
Beatle boot,Chelsea boot
Chelsea boot,boot
Beatle boot,dress boot
dress boot,shoe
dress boot,boot
MTV Europe Music Award for Best Album,award for best album
Philadelphia,table apple
Philadelphia,cooking apple
beat music,pop rock
Grammy Award for Best Performance by a Vocal Group,award for best performance
classic rock,rock music
funk metal,alternative metal
funk metal,funk rock
Maryland,motor car
Grammy Award for Best Rock Album,award for best album (genre)
Maryland,bomber
bomber,attack airplane
Maryland,aircraft with 2 tractor-piston-propeller engines
aircraft with 2 tractor-piston-propeller engines,aircraft with piston engines
aircraft with 2 tractor-piston-propeller engines,aircraft with 2 tractor propellers
Maryland,land-based bomber biplane
land-based bomber biplane,bomber biplane
land-based bomber biplane,land-based bomber
land-based bomber biplane,land-based biplane
land-based bomber biplane,land-based military biplane
viola,necked box lutes played with a bow
emo,rock music
emo,punk music
Portuguese,Galician-Portuguese
Galician-Portuguese,West Iberian
ska,popular music
rock and roll,rock music
Primetime Emmy Award,Emmy Award
Emmy Award,television award
political activist,activist
activist,person
MTV Video Music Award for Best Stage Performance,award for best performance
NAACP Image Award for Outstanding Male Artist,award for best artist
NAACP Image Award for Outstanding Male Artist,award for outstanding (...)
award for outstanding (...),class of award
Grammy Award for Best Rap Album,award for best album (genre)
entertainer,performing artist
conscious hip hop,rapping
conscious hip hop,hip hop music
conscious hip hop,political hip hop
political hip hop,hip hop music
human rights activist,political activist
Order of Merit,Pour le Mérite
Pour le Mérite,military decoration
Pour le Mérite,civil decoration
Companion of the Order of Canada,companion
companion,grade of an order
Officer of the Order of Canada,officer
officer,grade of an order
Grammy Award for Best Contemporary R&B Album,award for best album (genre)
peace activist,political activist
peace activist,pacifist
pacifist,philosopher
MOBO Awards,annual music awards ceremony
annual music awards ceremony,annual event
annual music awards ceremony,event sequence
Queens,cocktail
Brooklyn,cocktail
roots rock,rock music
roots rock,music of the United States
fashion photographer,fashion person
fashion photographer,professional photographer
professional photographer,photographer
dressmaker,tailor
tailor,artisan
tailor,tradesperson
tailor,fashion person
tailor,textile worker
tailor,"Tailors, Dressmakers, Furriers and Hatters"
dressmaker,textile worker
textile worker,worker
textile worker,artisan
American Music Awards,music award
American Music Awards,broadcasting program
broadcasting program,publication
broadcasting program,creative work
American Music Awards,recurring event
recurring event,event
recurring event,periodic process
rapper,vocalist
rapper,hip hop musician
hip hop musician,musician
spinto soprano,soprano
spinto soprano,lyric soprano
lyric soprano,soprano
spinto soprano,spinto
spinto,tenor
spinto,soprano
music video director,director
jazz rap,hip hop music
pop rap,hip hop music
neo soul,soul music
Grammy Award for Best Rap Solo Performance,award for best performance
rock musician,musician
Dallas,recreation
recreation,intentional human activity
recreation,activity
upright piano,piano
Governor General's Performing Arts Award,Governor General's Awards
Governor General's Awards,award
Governor General's Performing Arts Award,performing arts award
performing arts award,cultural prize
restaurateur,entrepreneur
restaurateur,restaurant manager
restaurant manager,manager
restaurant manager,hotel and restaurant managers
music of Africa,regional music
regional music,music
Juno Award for Artist of the Year,award for best artist
American Music Award for Favorite Adult Contemporary Album,award for best album (genre)
honorary doctorate at the Laval University,honorary doctorate
rocksteady,music of Jamaica
bassist,instrumentalist
Latin Church,Western Christianity
Juno Award for Album of the Year,award for best album (genre)
alternative R&B,contemporary R&B
heartland rock,rock music
Nutbush,line dance
line dance,dance
Windsor,soil
soil,building material
soil,granular material
soil,organic matter
soil,heterogeneous mixture
soil,natural system
MTV Movie Award for Best Song from a Movie,award for best song
East Coast hip hop,American hip hop
American hip hop,hip hop music
American hip hop,music of the United States
Order of Merit,"orders, decorations, and medals of the United Kingdom"
"orders, decorations, and medals of the United Kingdom",order
Grammy Award for Best Male Pop Vocal Performance,award for best performance
MTV Europe Music Award for Best Male,award for best artist
Islam,Abrahamic religion
poetry,literary work
literary work,work of art
literary work,written work
Buddhism,Indian religions
Indian religions,religion
Buddhism,subject of depiction
subject of depiction,object
Phoenix,chicken
Grammy Award for Best Rap Song,award for best work
Italian,noodle dish
noodle dish,dish
noodle dish,flour-based food
Womanizer,vibrator
vibrator,sex toy
Womanizer,sex toy
sex toy,toy
sex toy,erotic product
samba,ballroom dance
samba,Latin dance
Latin dance,dance
NAACP Image Award for Outstanding Female Artist,award for outstanding (...)
discussion moderator,person
samba,Brazilian dance
Brazilian dance,South American dance
road crew,assistant
assistant,worker
assistant,Q56260328
pandeiro,percussion instrument
child singer,child
child,human
child,juvenile
child singer,singer
Nickelodeon Kids' Choice Awards,music award
Nickelodeon Kids' Choice Awards,television award
Nickelodeon Kids' Choice Awards,film award
soukous,African dance
African dance,dance
soukous,Congolese rumba
Congolese rumba,music of Congo
soukous,music of Central Africa
music of Central Africa,music of Africa
Mnet Asian Music Award for Best International Artist,award for best artist
Commander of the Order of Prince Henry,commander
diplomat,position
position,role
position,artificial object
TMF Awards,music award
cycle sport,sport
sport,physical activity
cycle sport,cycling
cycling,sport
cycling,hobby
cycling,motion
cycling,mode of transport
cycling,physical activity
cycling,vehicle operation
cycling,riding
cycle sport,Olympic sport
Olympic sport,type of sport
stage actor,actor
stage actor,theatre maker
theatre maker,artist
sport cyclist,athlete
athlete,sportsperson
sport cyclist,cyclist
cyclist,athlete
monologue,oration
oration,event
oration,creative work
oration,oral media
Billboard Music Award for Top Female Artist,award for best artist
Columbia,sheep
Phoenix,beer
beer,mixture
beer,alcopop
beer,fermented alcoholic beverage
Guru,Boan
Boan,Ngiri
fashion designer,designer
fashion designer,fashion person
World Music Awards,music award
MTV Video Music Award for Best Long Form Video,award for best work
Lakeland,table apple
West Coast hip hop,American hip hop
television personality,media personality
television personality,person related to this event
person related to this event,person
person related to this event,person related to this item
television personality,Q114919269
Q114919269,media profession
Sunni Islam,Islam
Phoenix,motor car
People's Choice Awards,art prize
art prize,award
art prize,cultural prize
People's Choice Awards,film award
socialite,person
Gary,mango
mango,drupe
mango,fruit
Glamour Awards,award
Grammy Award for Best R&B Performance,award for best performance
Columbia,Cuban rumba
Cuban rumba,music of Cuba
television producer,manufacturer
television producer,media professional
perfumer,artist
perfumer,manufacturer
Aliyah,mass migration
mass migration,human migration
Latin Grammy Award for Best Female Pop Vocal Album,award for best album (genre)
public figure,celebrity
celebrity,person
MTV Video Music Brazil,music award
teen pop,pop music
Brazilian Portuguese,Portuguese
gangsta rap,hardcore hip hop
hardcore hip hop,hip hop music
Soul Train Music Award for Best Rap Album,award for best album (genre)
social activist,activist
child actor,child
child actor,actor
child actor,pop icon
pop icon,cultural icon
samba,music of Brazil
music of Brazil,music of Latin America
music of Brazil,music of South America
Italian,Italo-Romance
Italo-Romance,Romance languages
Italian,Southern European language
future rave,electronic dance music
Victoria,typewriter
typewriter,machine
executive producer,producer
Victoria,drag queen
drag queen,transformist
drag queen,performance artist
grime,rapping
grime,electronic dance music
Ottawa,Ojibwe
Ojibwe,Central Algonquian
musicologist,humanities scholar
humanities scholar,scientist
humanities scholar,scholar
American Music Award for New Artist of the Year,award for new artist
award for new artist,class of award
Grammy Award for Best Female Rock Vocal Performance,award for best performance
Juno Award for Rock Album of the Year,award for best album (genre)
Memphis,dance
mandolinist,plucked instrument player
