obj,super_obj
chicken,productive animal
Hamburg,Q1385549
Q1385549,poultry
transgender film,LGBT-related film
LGBT-related film,film
art film,film
mystery film,film
mystery film,mystery fiction
mystery fiction,fiction
comedy thriller,comedy
comedy thriller,thriller
revenge,behavior
behavior,activity
horror film,speculative/fantastic fiction film
horror film,horror fiction
horror fiction,speculative/fantastic fiction
satirical film,comedy film
satirical film,television comedy
television comedy,television program
television comedy,comedy
satirical film,satirical fiction
satirical fiction,fiction
satirical fiction,satire
gangster film,crime film
dysfunctional family,nuclear family
nuclear family,family
dysfunctional family,risk factor
risk factor,criterion
risk factor,environmental factor
risk factor,etiology
risk factor,contributing factor
risk factor,epidemiologic factor
dysfunctional family,social issue
social issue,problem
New York,short drink
short drink,cocktail
historical film,film
historical film,historical fiction
historical fiction,fiction
children's film,film
children's film,children's fiction
children's fiction,fiction
children's fiction,children's literature
spy film,action film
spy film,thriller film
spy film,spy fiction
spy fiction,fiction
legal thriller,thriller
legal thriller,crime fiction
trial film,drama film
trial film,legal drama
legal drama,drama fiction
war film,film
war film,war fiction
war fiction,fiction
Toronto,Old Fashioned
Old Fashioned,cocktail
Colombia,cocktail
cocktail,alcoholic beverage
cocktail,mixed drink
film adaptation,film
film adaptation,adaptation
political thriller,thriller
political thriller,political fiction
political fiction,fiction
baseball,ball
ball,toy
ball,sports equipment
baseball,sports equipment
sports equipment,durable good
sports equipment,equipment
BAFTA Award for Best Original Screenplay,award for best original screenplay
award for best original screenplay,film award category
baseball,Olympic sport
Olympic sport,sport
Olympic sport,sport competition at a multi-sport event
baseball,team sport
team sport,sport
team sport,game-based sport
baseball,bat-and-ball game
bat-and-ball game,game
bat-and-ball game,ball game
incest,human sexual behavior
human sexual behavior,physical intimacy
human sexual behavior,animal sexual behaviour
human sexual behavior,conduct
human sexual behavior,interpersonal activity
Brooklyn,cocktail
rape and revenge film,exploitation film
rape and revenge film,thriller film
rape and revenge film,vigilante film
various artists,performing artist
performing artist,artist
various artists,group of humans
group of humans,group of living things
various artists,recording artist
recording artist,musician
Maine,draft horse
draft horse,horse
draft horse,draft animal
road movie,film
aviation accident,accident
accident,manner of death
accident,incident
aviation accident,transport accident
transport accident,accident
transport accident,travel hazard
transport accident,Transportation and health
aviation accident,aviation accident or incident
aviation accident or incident,emergency
aviation,intentional human activity
intentional human activity,human activity
aviation,human aerial activity
human aerial activity,human activity
terrorism,political crime
political crime,crime
terrorism,risk source
risk source,contributing factor
risk source,source
Long Beach,windsurf
windsurf,sports equipment
windsurf,watercraft
embezzlement,violation of law
violation of law,transgression
embezzlement,Vermögensdelikt
Vermögensdelikt,delict
embezzlement,financial crime
financial crime,property crime
financial crime,white-collar crime
embezzlement,Breach of trust
Breach of trust,fraud
tragicomedy,comedy
tragicomedy,tragedy
tragedy,drama
tragedy,theatre
flashback film,nonlinear narrative
nonlinear narrative,narration
dinosaur,fictional dinosaur
fictional dinosaur,fictional animal character
fictional dinosaur,fictional reptile
dinosaur,monster
monster,fictional creature
dinosaur,beast
beast,monster
historical drama,historical fiction
historical drama,drama fiction
Iman,faith
faith,belief
dinosaur,animal
animal,organism
animal,heterotroph
culture of the United States,culture of North America
culture of North America,culture
history of the United States,history of North America
history of North America,study of history
Amanda Award for Best Foreign Feature Film,award for best film by place of origin
award for best film by place of origin,film award category
award for best film by place of origin,award for best film
Alabama,Muskogean
Muskogean,indigenous languages of the Americas
summer camp,building complex
building complex,architectural structure
building complex,architectural ensemble
summer camp,activity
activity,occurrence
activity,series
Chicago,cue sports
cue sports,sport
Pittsburgh,Orthodox Judaism
Orthodox Judaism,Rabbinic Judaism
basketball,inflatable ball
inflatable ball,ball
inflatable ball,inflatable
summer camp,organization
organization,juridical person
organization,social system
organization,group of humans
organization,person or organization
summer camp,child care
child care,care work
Valentine,infantry tank
infantry tank,tank
love,emotion
emotion,qualia
emotion,mental process
love,condition
condition,state
love,affection
affection,feeling
basketball,team sport
basketball,ball game
ball game,sport
ball game,game
ball game,athletic culture
vampire film,monster film
monster film,speculative/fantastic fiction film
vampire film,vampire fiction
vampire fiction,supernatural fiction
vampire fiction,horror fiction
vampire fiction,monster fiction
comedy,comedy
comedy,dramatic theatre
dramatic theatre,theatre
dramatic theatre,drama
human pregnancy,pregnancy
pregnancy,gestation
work of art,collectible
work of art,product
work of art,creative work
work of art,decorative object
crime thriller,crime film
crime thriller,crime thriller
crime thriller,thriller
crime thriller,crime fiction
Chinatown,ethnic enclave
ethnic enclave,neighborhood
ethnic enclave,enclave
Chinatown,sociological neighborhood
sociological neighborhood,neighborhood
Africa,municipality
municipality,administrative territorial entity
municipality,human settlement
municipality,political territorial entity
municipality,government organization
Africa,administrative territorial entity of South Africa
administrative territorial entity of South Africa,politics of South Africa
administrative territorial entity of South Africa,administrative territorial entity of a single country
Christmas film,fiction film
fiction film,fiction
fiction film,film
fiction film,recreative work
Christmas film,Christmas fiction
Christmas fiction,fiction
traditionally animated film,animated film
animated film,film
superhero film,speculative/fantastic fiction film
superhero film,superhero fiction
superhero fiction,speculative/fantastic fiction
superhero fiction,adventure fiction
Western film,fiction film
Western film,Western
Western,fiction
gambling,recreation
recreation,intentional human activity
gambling,playing of a game
playing of a game,play
screwball comedy film,comedy film
serial killer,murderer
murderer,criminal
murderer,perpetrator
prison film,crime film
alcoholism,alcohol abuse
alcohol abuse,alcohol consumption
alcohol abuse,substance abuse
alcohol abuse,alcohol-related disorders
alcoholism,dependence syndrome
dependence syndrome,addiction
dependence syndrome,syndrome
war,armed conflict
armed conflict,conflict
armed conflict,violent conflict
war,occurrence
occurrence,temporal entity
war,social issue
sexual morality,morality
morality,ethical concept
National Society of Film Critics Award for Best Director,award for best direction
award for best direction,film award category
award for best direction,theatre award category
Catholic priesthood,priesthood
priesthood,role
priesthood,vocation
independent film,film
independent film,cinematography
cinematography,photography
Japan Academy Prize for Outstanding Foreign Language Film,award for best film for original language
award for best film for original language,film award category
New York Film Critics Circle Award for Best Director,award for best direction
National Society of Film Critics Award for Best Screenplay,award for best screenplay
award for best screenplay,film award category
award for best screenplay,award for best book
Priest,religious leader
religious leader,leader of organization
fashion,culture
culture,pattern of behavior
fashion,economic activity
economic activity,intentional human activity
fashion,fad
fad,collective behavior
organized crime,criminal organization
criminal organization,organization
criminal organization,social issue
organized crime,social organization
social organization,organization
social organization,pattern
social organization,unit of analysis
organized crime,criminality
criminality,abuse
criminality,social phenomenon
organized crime,association
association,organization
association,legal form
association,group of humans
association,group
association,agent
film based on books,film based on literature
Saturn Award,award
award,recognition
award,artificial entity
Speed,windsurf
male bonding,human bonding
human bonding,human behavior
human bonding,relationship forming
miscarriage of justice,error
error,deviation
error,property
error,flaw
error,risk source
miscarriage of justice,injustice
injustice,immorality
injustice,unfairness
miscarriage of justice,legal case
legal case,conflict
legal case,legal transaction
legal case,work
legal case,trial
miscarriage of justice,conviction
conviction,legal proceeding
conviction,verdict
Speed,amusement ride
amusement ride,architectural structure
amusement ride,appliance
amusement ride,attraction
amusement ride,facility
hostage crisis,crime
crime,violation of law
hostage crisis,offense against personal freedom
offense against personal freedom,violation of law
Incarceration in the United States,prison
prison,organization
prison,facility
prison,government building
abuse of power,corruption
corruption,crime
corruption,violation of law
corruption,transgression
abuse of power,crime
abuse of power,malfeasance in office
malfeasance in office,professional misconduct
abuse of power,abuse
abuse,social issue
abuse,human behavior
action thriller,thriller
action thriller,action fiction
imprisonment,detention punishment
detention punishment,punishment
corruption,derivation
derivation,word formation
derivation,creation
black comedy film,black comedy
black comedy,comedy
black comedy film,comedy film
Kids' Choice Award for Favorite Movie,award for favorite (...)
award for favorite (...),class of award
MTV Movie Award for Best Action Sequence,award for best scene
award for best scene,class of award
imprisonment,sentence
sentence,document
sentence,judgment
imprisonment,captivity
captivity,occurrence
captivity,state
blackmail,crime
blackmail,coercion
coercion,crime
coercion,aggression
coercion,activity
coercion,force
coercion,control
transgression,anomaly
transgression,occurrence
friendship,interpersonal relationship
interpersonal relationship,social relation
interpersonal relationship,specialty
interpersonal relationship,human behavior
martial arts film,action film
martial arts film,exploitation film
adaptation,derivative work
adaptation,remediation
adaptation,creative work
extraterrestrial life,life
life,being
life,phenomenon
life,natural phenomenon
life,biological process
life,lyfe
extraterrestrial life,hypothetical entity
hypothetical entity,entity
time travel,motion
motion,change
motion,physical process
motion,movement
time travel,imaginary voyage
imaginary voyage,science fantasy
time travel,fictional occurrence
fictional occurrence,fictional entity
police officer,police rank
police rank,rank
police rank,position
Hugo Award for Best Dramatic Presentation,Hugo Award
Hugo Award,literary award
Hugo Award,science fiction award
police officer,civil servant
civil servant,bureaucrat
civil servant,official
civil servant,government employee
police officer,police officer
police officer,law enforcement officer
police officer,protective services workers
protective services workers,services and sales worker
law enforcement officer,civil servant
law enforcement officer,first responder
law enforcement officer,person linked to the law
Maryland,motor car
motor car,motor vehicle
motor car,road vehicle
motor car,multi-track vehicle
Maryland,bomber
bomber,attack aircraft
Maryland,aircraft with 2 tractor-piston-propeller engines
aircraft with 2 tractor-piston-propeller engines,aircraft with piston engines
aircraft with 2 tractor-piston-propeller engines,aircraft with 2 tractor propellers
Maryland,land-based bomber biplane
land-based bomber biplane,bomber biplane
land-based bomber biplane,land-based bomber
land-based bomber biplane,land-based biplane
land-based bomber biplane,land-based military biplane
MTV Movie Award for Best Comedic Performance,award for best performance
award for best performance,award for best work
temporal paradox,paradox
paradox,statement
bear,heraldic animal
heraldic animal,natural figure
Santa Clara Pueblo,Puebloan peoples
Puebloan peoples,indigenous peoples of the Americas
bear,monster
bear,beast
Wolf,fictional wolf
fictional wolf,fictional Canis
teen film,film
Great Purge,terror
terror,politics
terror,violence
comedy horror,comedy
comedy horror,horror fiction
Prize of the Ecumenical Jury,film award
film award,award
film award,competition
film award,cultural prize
bear,animal
Georgia,coffee
coffee,drink
coffee,soft drink
coffee,colonial goods
coffee,stimulant foodstuff
coffee,non-alcoholic beverage
coffee,hot beverage
coffee,coffee drink
bear,gay
gay,homosexuality
gay,LGBT+ identity
bear,gay man
gay man,male human
gay man,LGBT person
Genesis Award,television award
television award,award
television award,cultural prize
survival film,adventure film
survival film,survival fiction
survival fiction,fiction
Jupiter Awards,television award
Jupiter Awards,film award
Ontario,apple
apple,fruit
Netherlands,name
name,signifier
name,identifier
name,word or phrase
Jan Steen,table apple
table apple,apple
Ontario,table apple
Ontario,cooking apple
cooking apple,apple
cooking apple,food ingredient
Puerto Rico,East Asians
East Asians,inhabitant
East Asians,Asian people
Babe,general aviation biplane with 1 engine
general aviation biplane with 1 engine,general aviation aircraft with 1 engine
general aviation biplane with 1 engine,biplane with 1 engine
general aviation biplane with 1 engine,general aviation biplane
disaster film,drama film
disaster film,thriller film
The Holocaust,genocide
genocide,crime against humanity
genocide,mass murder
genocide,atrocity
genocide,communal violence
The Holocaust,persecution of Jews
persecution of Jews,antisemitism
persecution of Jews,violence
persecution of Jews,religious persecution
persecution of Jews,occurrence
outer space,space
space,measurable set
space,region in space
outer space,vacuum
vacuum,abstract object
outer space,absence
absence,condition
heist film,crime film
heist film,thriller film
buddy cop film,buddy film
buddy cop film,crime film
Madonna,religious art
religious art,art
religious art,work of art
fleeting relationship,interpersonal relationship
association football,team sport
association football,football codes
football codes,team sport
football codes,ball game
cloning,biology
biology,natural science
cloning,reproduction
reproduction,biological process
family film,film
Casino,cocktail
dystopian film,speculative/fantastic fiction film
dystopian film,political film
political film,political fiction
dystopian film,dystopian fiction
dystopian fiction,science fiction
B movie,low-budget film
low-budget film,film
Missouri,table apple
haunted house,house
house,building
haunted house,haunted place
haunted place,paranormal phenomenon
haunted place,physical location
steampunk film,fantasy film
steampunk film,science fiction film
haunted house,haunted attraction
haunted attraction,amusement ride
ghost film,ghost story
ghost story,paranormal fiction
ghost story,supernatural fiction
ghost film,supernatural film
supernatural film,speculative/fantastic fiction film
Golden Raspberry Award for Worst Director,award for worst (...)
award for worst (...),class of award
pirate film,adventure film
pirate film,pirate fiction
pirate fiction,nautical fiction
pirate fiction,adventure fiction
swashbuckler film,action film
swashbuckler film,adventure film
swashbuckler film,costume drama
costume drama,historical television series
costume drama,period film
costume drama,historical drama film
treasure hunt film,adventure film
sea piracy,hijacking
hijacking,terrorism
hijacking,robbery
capital punishment,homicide
homicide,killing
homicide,violent death
capital punishment,punishment
punishment,occurrence
punishment,result
punishment,action
capital punishment,sentence
capital punishment,cause of death
cause of death,cause
knight film,adventure film
Malibu,windsurf
parody film,comedy film
parody film,parody
parody,humor
parody,derivative work
Golden Raspberry Award for Worst Supporting Actress,award for worst (...)
Friday,day
day,time interval
Friday,non-holiday
non-holiday,day of the week
Friday,holiday
holiday,event
holiday,non-working day
holiday,point in time with respect to recurrent timeframe
holiday,recurring event
Siberia,confection
confection,food product
confection,sweet dish
confection,Production of food industry by OKP
confection,food products by OKPD2 (10)
confection,"food and drink products (OKPD 15, includes not only edible)"
hatred,aversion
aversion,negative emotion
computing,technology
technology,applied science
computing,activity
computing,economic sector
economic sector,system
old age,age of a person
age of a person,physical quantity
age of a person,duration
age of a person,age
old age,senescence
senescence,physiological condition
senescence,degradation
old age,development of the human body
development of the human body,animal development
police brutality,brutality
brutality,anti-social behaviour
police brutality,police misconduct
police misconduct,malfeasance in office
police brutality,police violence
police violence,use of force
police violence,institutional violence
Solo,yal
yal,sailboat
yal,monohull
Monaco,beer cocktail
beer cocktail,cocktail
Solo,margarine
margarine,fat spread
margarine,vegetable fat
margarine,margarine and similar edible fats
margarine,"Margarines, spreads, mayonnaise and other fatty emulsion products"
Solo,lemon-lime drink
lemon-lime drink,carbonated beverage
lemon-lime drink,citrus soft drink
Solo,soft drink
soft drink,non-alcoholic beverage
Baltimore,military aircraft
military aircraft,military vehicle
military aircraft,purpose-designed aircraft
life story,chain of events
chain of events,abstract object
social relation,social phenomenon
social relation,relation
specialty,knowledge
specialty,knowledge system
specialty,knowledge type
human behavior,behavior
woman,adult
adult,organism
woman,female human
female human,human
female human,female organism
ninja,mercenary
mercenary,warrior
tabletop game,product
product,product
tabletop game,artificial physical object
artificial physical object,physical object
artificial physical object,artificial entity
tabletop game,parlour game
parlour game,social game
tabletop game,recreational equipment
recreational equipment,equipment
Golden Raspberry Award for Worst Actor,award for worst (...)
supernatural,paranormal phenomenon
paranormal phenomenon,phenomenon
paranormal phenomenon,object of non-science
suicide,killing
killing,violence
killing,action
Nico,protein-coding gene
protein-coding gene,gene
cultural diplomacy,public diplomacy
public diplomacy,diplomacy
Pocahontas,passenger train
passenger train,passenger train
epidemic,disease outbreak
disease outbreak,medicine
disease outbreak,occurrence
disease outbreak,external risk
disease outbreak,health risk
epidemic,disaster
disaster,condition
disaster,hazard
disaster,occurrence
disaster,social issue
disaster,cause of death
epidemic,pathogen spread
pathogen spread,motion
pathogen spread,health risk
pathogen spread,dissemination
capitalism,economic system
economic system,social system
colonialism,imperialism
imperialism,expansionism
Restoration,politics
politics,activity
politics,group behaviour
politics,adversarial process
romantic love,love
social status,status
status,role
Rob Roy,cocktail
Boston,cocktail
Devon,cold cut
cold cut,meat product
cold cut,convenience food
Devon,sausage
sausage,charcuterie
television program,audiovisual work
television program,moving image
television program,broadcasting program
Boston,ballroom dance
ballroom dance,sport
ballroom dance,partner dance
gentry,human
human,natural person
human,omnivore
human,person
human,mammal
money,legal tender
legal tender,promissory note
money,nominal good
nominal good,goods
money,standard of deferred payment
standard of deferred payment,convention
girls with guns,action film
demonic possession,spirit possession
spirit possession,paranormal phenomenon
social phenomenon,phenomenon
criminal investigation,research
research,inquiry
criminal investigation,inquiry
inquiry,seeking
inquiry,planned process
deception,communication
communication,social process
communication,information exchange
deception,abuse
detective fiction,crime fiction
detective fiction,mystery fiction
urban legend,legend
legend,fiction
legend,traditional story
criminal investigation,legal act
legal act,intentional human activity
legal act,legal fact
legal act,legal action
legal act,intellectual work
criminal investigation,activity
criminal investigation,law enforcement project
law enforcement project,project
biotechnology risk,technology risk
technology risk,risk
biotechnology risk,biological risk
biological risk,risk
oppression,violence
violence,aggression
violence,activity
oppression,abuse of power
mental health,health
health,physiological condition
health,Q16681739
health,absence
mental health,health psychology
health psychology,psychology
health psychology,clinical and health psychology
mental health,absence
Philadelphia,table apple
Philadelphia,cooking apple
deception,crime
deception,deception
hip hop music,popular music
popular music,music
science,knowledge system
knowledge system,knowledge
knowledge system,system
knowledge system,set
psychiatry,medicine
medicine,healing knowledge
medicine,health sciences
psychiatry,clinical sciences
clinical sciences,biomedicine
Broken Arrow,accident
vanity,behavior
persecution,violence
persecution,oppression
persecution,social issue
Greenland,amusement park
amusement park,recreation area
amusement park,tourist attraction
amusement park,facility
nuclear war,unconventional warfare
unconventional warfare,war
doomsday device,weapon
weapon,tool
weapon,military equipment
weapon,adult product
doomsday device,weapon of mass destruction
weapon of mass destruction,weapon
weapon of mass destruction,technology risk
doomsday device,suicide weapon
suicide weapon,weapon
suicide weapon,suicide method
doomsday device,hypothetical entity
BAFTA Award for Best British Screenplay,award for best screenplay
World War III,war
Cold War,low-intensity conflict
low-intensity conflict,conflict
house cat,Felidae
Felidae,Feliformia
house cat,pet
pet,domesticated animal
house cat,domesticated mammal
domesticated mammal,domesticated animal
domesticated mammal,captive mammal
kidnapping,kidnapping
kidnapping,transport
kidnapping,false imprisonment
kidnapping,violent crime
kidnapping,captivity
kidnapping,offense against personal freedom
false imprisonment,false imprisonment
spiritism,faith
cyberpunk,science fiction
cyberpunk,dystopian fiction
android,humanoid robot
humanoid robot,bipedal robot
fiction,work of art
fiction,narrative
film noir,noir fiction
noir fiction,crime fiction
envy,desire
desire,emotion
tech noir,science fiction
tech noir,noir fiction
spiritism,Christianity
Christianity,religion
Christianity,خرافة الدين الابراهيمي
Christianity,monotheistic religion
spiritism,spiritualism
spiritualism,mysticism
spiritualism,occultism
transport,intentional human activity
transport,material flow
transport,economic activity
false imprisonment,crime
false imprisonment,tort
false imprisonment,imprisonment
false imprisonment,offense against personal freedom
false imprisonment,legal concept
false imprisonment,Dauerdelikt
violent crime,crime
BAFTA Award for Best Production Design,award for best production design
award for best production design,film award category
Ghost,video game character
video game character,fictional character
video game character,video game feature
Ghost,ghost in a work of fiction
ghost in a work of fiction,supernatural being in a work of fiction
artificial intelligence,emerging technology
emerging technology,technology
offender profiling,criminal psychology
criminal psychology,psychology
criminal psychology,criminology
altruism,behaviour
behaviour,motion
Memphis,dance
dance,performing arts
dance,physical activity
dance,creative work
cybernetic revolt,rebellion
rebellion,conflict
rebellion,historical event
cybernetic revolt,apocalyptic fiction
apocalyptic fiction,science fiction
Terminator,henchperson
henchperson,antagonist
henchperson,fictional profession
henchperson,assistant
psychological horror,horror fiction
psychological horror,psychological fiction
National Society of Film Critics Award for Best Cinematography,award for best photography
award for best photography,film award category
Terminator,home video game console
home video game console,video game console
romance novel,novel
novel,narration
novel,literary work
romance novel,romantic fiction
beauty,convention
convention,set
class struggle,conflict
conflict,group dynamics
class struggle,class relations
class relations,social relation
amusement park,amusement park
recreation area,protected area
recreation area,territory
recreation area,artificial entity
tourist attraction,point of interest
facility,human-made geographic feature
business ethics,business ethics
business ethics,Economic ethics
Dallas,recreation
political drama,political fiction
political drama,drama fiction
Germinal,month of the French Republican Calendar
month of the French Republican Calendar,month
complex system,system
system,collective entity
Economic ethics,applied ethics
aggression,action
shooting,kick
kick,strike
shooting,sports technique
sports technique,intentional human activity
sports technique,technique
shooting,intentional human activity
identity,reflexive relation
reflexive relation,endorelation
gang,criminal organization
shooting,recording
recording,process
cycle of violence,social issue
identity,theorem
theorem,proposition
theorem,statement
theorem,conclusion
identity,tautology
tautology,statement
identity,equality
equality,equivalence relation
equality,antisymmetric relation
equality,partial order
Manchester,bomber biplane with 2 engines
bomber biplane with 2 engines,bomber with 2 engines
bomber biplane with 2 engines,bomber biplane
bomber biplane with 2 engines,biplane with 2 engines
Viva,drink
drink,food
drink,liquid
identity,quality
quality,property
identity,self-concept
self-concept,concept
Manchester,corduroy
corduroy,weft pile weave
gender,identity
African Americans,Black people
Black people,person of color
African Americans,Americans
Americans,North Americans
African Americans,African diaspora in the Americas
African diaspora in the Americas,Black people
African Americans,ethnic community
ethnic community,ethnic group
consent,intentional human activity
consent,message
message,information
consent,permission
permission,property
passion,emotion
selective mutism,anxiety disorder
anxiety disorder,cognitive disorder
anxiety disorder,particular disease
selective mutism,speech disorder
speech disorder,communication disorder
speech disorder,particular disease
consent,consent
Spectrum,launch vehicle
launch vehicle,rocket
spouse abuse,abuse
spouse abuse,intimate partner violence
intimate partner violence,violence
intimate partner violence,domestic violence
Mako,template processor
template processor,software
unfree labour,punishment
unfree labour,job
job,work
job,economic activity
unfree labour,offense against personal freedom
unfree labour,work
work,intentional human activity
passion,oratorio
oratorio,composed musical work
oratorio,theatre music
passion,religious music
religious music,functional music
passion,musical setting
musical setting,musical work
homophobia,discrimination
discrimination,behavior
discrimination,crime
discrimination,hatred
discrimination,social issue
discrimination,discrimination
homophobia,bias
bias,human error
bias,cognitive perspective
homophobia,non-medical phobia
non-medical phobia,hostility
non-medical phobia,aversion
American football,gridiron football
gridiron football,football codes
Tombstone,frozen food
frozen food,food
frozen food,convenience food
chess,sequential game
sequential game,game
sequential game,strategy game
chess,abstract strategy game
abstract strategy game,strategy game
abstract strategy game,abstract game
chess,mind sport
mind sport,sport
mind sport,intellectual competition
chess,individual sport
individual sport,sport
horse,xiangqi piece
xiangqi piece,game piece
horse,monster
horse,beast
essay film,documentary film
essay film,experimental film
experimental film,film
experimental film,avant-garde
essay film,art film
essay film,fiction film
essay film,video essay
video essay,essay
sport film,film
sport film,sport art
sport art,art
Rome,apple
horse,janggi piece
janggi piece,game piece
amnesia,cognitive disorder
cognitive disorder,mental disorder
cognitive disorder,organic brain syndrome
amnesia,memory disorder
memory disorder,mental disorder
memory disorder,neurological and physiological symptom
amnesia,psychopathological syndrome
psychopathological syndrome,mental disorder
psychopathological syndrome,syndrome
amnesia,particular disease
particular disease,Wikidata instance class
particular disease,collective entity
horse,domesticated mammal
Highlander,Scottish people
Scottish people,British people
Golden Raspberry Award for Worst Original Song,award for worst (...)
Golden Raspberry Award for Worst Screenplay,award for worst (...)
zombie comedy,zombie film
zombie film,monster film
zombie film,zombie fiction
zombie comedy,zombie television program
zombie television program,monster television program
zombie television program,zombie fiction
zombie comedy,comedy horror film
comedy horror film,comedy film
comedy horror film,horror film
comedy horror film,comedy horror
Golden Raspberry Award for Worst Picture,award for worst (...)
Chad,protein-coding gene
Highlander,yal
Golden Raspberry Award for Worst Supporting Actor,award for worst (...)
death,change of state
change of state,change
change of state,transformation of matter
Angus,cattle
cattle,domesticated mammal
Coil,protein-coding gene
Acid Western,Western film
slasher film,horror film
science fiction anime,science fiction film
science fiction anime,science fiction animation
science fiction animation,animated film
science fiction animation,science fiction television series
science fiction animation,science fiction film
action anime,anime
anime,audiovisual work
action anime,action film
action anime,action anime and manga
action anime and manga,action fiction
action anime and manga,anime and manga
Sant Jordi Prize,award
Turia Awards,television award
Turia Awards,film award
Mobile,indigenous peoples of North America
indigenous peoples of North America,indigenous peoples of the Americas
friendly fire,military incident
military incident,armed conflict
military incident,social issue
power,state
state,juridical person
state,community
state,political territorial entity
state,subject of international law
state,state (former or current)
magic,performing arts
performing arts,arts
magic,circus skill
circus skill,performing arts
circus skill,skill
power,philosophical concept
philosophical concept,concept
outsider,person
person,individual
person,legal person
person,person or organization
Bloomfield,Nehalem
Nehalem,Intel microprocessor
American Buffalo,bullion coin
bullion coin,coin
female bonding,human bonding
power,operation result
operation result,result
outsider,monster
magic,occultism
occultism,knowledge
occultism,world view
occultism,pseudoscience
occultism,human behavior
women in the military,military personnel
military personnel,employee
military personnel,warrior
women in the military,female
female,gendered
power,power
power,physical quantity
physical quantity,quantity
physical quantity,physical property
physical quantity,individual quantity
power,scalar quantity
scalar quantity,physical quantity
scalar quantity,scalar
Coven,meeting
meeting,event
Flipper,One-Design sailboat
One-Design sailboat,sports discipline
One-Design sailboat,watercraft class
One-Design sailboat,competition class
alien invasion,fictional occurrence
alien invasion,extraterrestrial fiction
extraterrestrial fiction,science fiction
Satellite Award for Best Animated or Mixed Media Feature,award for best (...)
award for best (...),class of award
Arkansas,table apple
lust,sexual desire
sexual desire,desire
lust,attraction
attraction,basic emotion
attraction,positive emotion
Portland,sheep
sheep,herbivore
sheep,ruminant
sheep,productive animal
sheep,domesticated mammal
boxing,Olympic sport
boxing,combat sport
combat sport,strength sport
combat sport,contact sport
crime against humanity,atrocity
mass murder,murder
mass murder,delict
atrocity,international crime
communal violence,violence
communal violence,group conflict
religion,ideology
ideology,morality
religion,world view
world view,belief system
world view,point of view
world view,religion or world view
religion,tradition
tradition,custom
tradition,heritage
religion,belief system
belief system,system
belief system,set
religion,religion or world view
religion or world view,point of view
Fleet,tweet
tweet,post
tweet,blog post
tweet,software resource
Fleet,stories
stories,post
MTV Movie Award for Best Breakthrough Performance,award for best performance
Independence Day,independence day
independence day,national day
independence day,public holiday
independence day,annual event
Jack,jack
jack,lifting equipment
jack,stonemasonry tool
Fleet,watercourse
watercourse,land waters
espionage,crime
espionage,activity
Satellite Award for Best Visual Effects,award for best visual effects
award for best visual effects,film award category
psychokinesis,paranormal phenomenon
psychokinesis,superhuman quality
superhuman quality,quality
psychokinesis,psychic ability
psychic ability,superhuman quality
Jack,antihero
antihero,fictional character
insect,Arthropoda
Arthropoda,invertebrate
The Phantom,home video game console
sex comedy,comedy film
sex comedy,erotic film
Auburn,domesticated turkey
domesticated turkey,poultry
domesticated turkey,productive animal
